"Date","Price","Open","High","Low","Change %"
"Dec 15","2.269","2.217","2.358","2.120","2.76"
"Nov 15","2.208","2.137","2.377","2.130","2.89"
"Oct 15","2.146","2.042","2.183","1.904","5.45"
"Sep 15","2.035","2.214","2.303","2.035","-8.08"
"Aug 15","2.214","2.200","2.293","1.905","1.23"
"Jul 15","2.187","2.373","2.470","2.176","-6.90"
"Jun 15","2.349","2.128","2.500","2.106","10.65"
"May 15","2.123","2.049","2.366","2.046","4.32"
"Apr 15","2.035","1.930","2.110","1.802","5.60"
"Mar 15","1.927","2.005","2.259","1.852","-3.46"
"Feb 15","1.996","1.653","2.164","1.649","21.78"
"Jan 15","1.639","2.200","2.213","1.637","-24.47"
"Dec 14","2.170","2.178","2.347","2.009","-0.14"
"Nov 14","2.173","2.309","2.407","2.166","-6.94"
"Oct 14","2.335","2.500","2.508","1.865","-6.41"
"Sep 14","2.495","2.357","2.655","2.354","6.40"
"Aug 14","2.345","2.562","2.591","2.303","-8.47"
"Jul 14","2.562","2.530","2.692","2.441","1.18"
"Jun 14","2.532","2.484","2.662","2.475","2.30"
"May 14","2.475","2.659","2.700","2.402","-6.46"
"Apr 14","2.646","2.726","2.810","2.596","-2.68"
"Mar 14","2.719","2.610","2.821","2.592","2.64"
"Feb 14","2.649","2.666","2.786","2.570","0.19"
"Jan 14","2.644","3.038","3.041","2.646","-12.62"
"Dec 13","3.026","2.753","3.036","2.752","10.20"
"Nov 13","2.746","2.560","2.839","2.554","7.60"
"Oct 13","2.552","2.614","2.759","2.471","-2.41"
"Sep 13","2.615","2.837","3.007","2.590","-6.24"
"Aug 13","2.789","2.584","2.936","2.552","7.77"
"Jul 13","2.588","2.495","2.755","2.415","4.06"
"Jun 13","2.487","2.157","2.667","1.999","16.65"
"May 13","2.132","1.668","2.235","1.614","27.44"
"Apr 13","1.673","1.875","1.888","1.638","-9.67"
"Mar 13","1.852","1.877","2.087","1.827","-1.54"
"Feb 13","1.881","1.990","2.064","1.836","-5.24"
"Jan 13","1.985","1.757","2.037","1.757","13.04"
"Dec 12","1.756","1.618","1.847","1.564","8.66"
"Nov 12","1.616","1.702","1.781","1.556","-4.60"
"Oct 12","1.694","1.623","1.856","1.599","3.74"
"Sep 12","1.633","1.552","1.894","1.542","5.49"
"Aug 12","1.548","1.468","1.863","1.446","5.31"
"Jul 12","1.470","1.652","1.660","1.381","-10.53"
"Jun 12","1.643","1.570","1.728","1.442","5.12"
"May 12","1.563","1.919","1.966","1.533","-18.55"
"Apr 12","1.919","2.237","2.308","1.884","-13.32"
"Mar 12","2.214","1.983","2.399","1.931","12.16"
"Feb 12","1.974","1.797","2.080","1.797","9.97"
"Jan 12","1.795","1.876","2.094","1.792","-4.32"
"Dec 11","1.876","2.079","2.167","1.798","-9.42"
"Nov 11","2.071","2.135","2.153","1.872","-2.13"
"Oct 11","2.116","1.919","2.420","1.717","10.38"
"Sep 11","1.917","2.222","2.278","1.674","-14.19"
"Aug 11","2.234","2.820","2.858","1.976","-19.99"
"Jul 11","2.792","3.162","3.223","2.773","-11.65"
"Jun 11","3.160","3.070","3.221","2.842","3.30"
"May 11","3.059","3.297","3.323","3.041","-7.02"
"Apr 11","3.290","3.476","3.619","3.283","-5.19"
"Mar 11","3.470","3.440","3.598","3.143","1.40"
"Feb 11","3.422","3.372","3.770","3.372","1.42"
"Jan 11","3.374","3.305","3.497","3.253","2.62"
"Dec 10","3.288","2.809","3.568","2.797","17.55"
"Nov 10","2.797","2.621","2.967","2.458","7.45"
"Oct 10","2.603","2.515","2.731","2.334","3.62"
"Sep 10","2.512","2.482","2.849","2.449","1.70"
"Aug 10","2.470","2.925","2.972","2.419","-14.97"
"Jul 10","2.905","2.942","3.132","2.855","-1.02"
"Jun 10","2.935","3.300","3.427","2.928","-11.14"
"May 10","3.303","3.663","3.713","3.064","-9.73"
"Apr 10","3.659","3.839","4.013","3.655","-4.54"
"Mar 10","3.833","3.625","3.928","3.593","5.91"
"Feb 10","3.619","3.606","3.828","3.537","0.86"
"Jan 10","3.588","3.858","3.904","3.563","-6.49"
"Dec 09","3.837","3.207","3.918","3.196","19.98"
"Nov 09","3.198","3.396","3.563","3.154","-5.61"
"Oct 09","3.388","3.318","3.581","3.106","2.51"
"Sep 09","3.305","3.403","3.534","3.272","-2.82"
"Aug 09","3.401","3.512","3.893","3.374","-2.33"
"Jul 09","3.482","3.527","3.766","3.261","-1.55"
"Jun 09","3.537","3.492","4.008","3.454","2.20"
"May 09","3.461","3.115","3.754","3.072","10.97"
"Apr 09","3.119","2.668","3.166","2.650","16.90"
"Mar 09","2.668","3.020","3.045","2.462","-11.68"
"Feb 09","3.021","2.851","3.058","2.619","5.96"
"Jan 09","2.851","2.250","2.894","2.148","28.42"
"Dec 08","2.220","2.960","2.962","2.040","-23.97"
"Nov 08","2.920","3.959","3.984","2.908","-26.45"
"Oct 08","3.970","3.748","4.110","3.402","3.68"
"Sep 08","3.829","3.827","3.909","3.251","0.10"
"Aug 08","3.825","3.958","4.094","3.763","-3.36"
"Jul 08","3.958","3.967","4.178","3.771","-0.43"
"Jun 08","3.975","4.058","4.288","3.858","-2.26"
"May 08","4.067","3.740","4.141","3.683","8.92"
"Apr 08","3.734","3.428","3.918","3.415","9.15"
"Mar 08","3.421","3.524","3.716","3.291","-2.78"
"Feb 08","3.519","3.611","3.962","3.511","-2.17"
"Jan 08","3.597","4.033","4.100","3.285","-10.86"
"Dec 07","4.035","3.949","4.297","3.833","2.18"
"Nov 07","3.949","4.473","4.508","3.795","-11.71"
"Oct 07","4.473","4.587","4.723","4.314","-2.63"
"Sep 07","4.594","4.529","4.712","4.303","1.48"
"Aug 07","4.527","4.735","4.893","4.487","-4.35"
"Jul 07","4.733","5.037","5.208","4.731","-5.85"
"Jun 07","5.027","4.902","5.333","4.878","2.76"
"May 07","4.892","4.626","4.923","4.606","5.70"
"Apr 07","4.628","4.646","4.783","4.614","-0.43"
"Mar 07","4.648","4.568","4.676","4.469","1.55"
"Feb 07","4.577","4.814","4.851","4.500","-4.92"
"Jan 07","4.814","4.694","4.910","4.582","2.43"
"Dec 06","4.700","4.466","4.726","4.407","5.33"
"Nov 06","4.462","4.608","4.741","4.458","-3.08"
"Oct 06","4.604","4.637","4.852","4.555","-0.63"
"Sep 06","4.633","4.728","4.850","4.530","-2.09"
"Aug 06","4.732","4.988","5.022","4.730","-5.13"
"Jul 06","4.988","5.145","5.245","4.981","-3.05"
"Jun 06","5.145","5.121","5.255","4.947","0.43"
"May 06","5.123","5.057","5.210","4.984","1.31"
"Apr 06","5.057","4.853","5.145","4.835","4.20"
"Mar 06","4.853","4.549","4.888","4.545","6.50"
"Feb 06","4.557","4.521","4.634","4.504","0.80"
"Jan 06","4.521","4.521","4.521","4.521","2.77"
"Dec 05","4.399","4.399","4.399","4.399","-2.03"
"Nov 05","4.490","4.490","4.490","4.490","-1.51"
"Oct 05","4.559","4.559","4.559","4.559","5.24"
"Sep 05","4.332","4.332","4.332","4.332","7.87"
"Aug 05","4.016","4.016","4.016","4.016","-6.26"
"Jul 05","4.284","4.284","4.284","4.284","9.31"
"Jun 05","3.919","3.919","3.919","3.919","-1.71"
"May 05","3.987","3.987","3.987","3.987","-5.21"
"Apr 05","4.206","4.206","4.206","4.206","-6.24"
"Mar 05","4.486","4.486","4.486","4.486","2.35"
"Feb 05","4.383","4.383","4.383","4.383","6.07"
"Jan 05","4.132","4.132","4.132","4.132","-2.04"
"Dec 04","4.218","4.218","4.218","4.218","-3.10"
"Nov 04","4.353","4.353","4.353","4.353","8.23"
"Oct 04","4.022","4.022","4.022","4.022","-2.45"
"Sep 04","4.123","4.123","4.123","4.123","0.10"
"Aug 04","4.119","4.119","4.119","4.119","-7.91"
"Jul 04","4.473","4.473","4.473","4.473","-2.40"
"Jun 04","4.583","4.583","4.583","4.583","-0.20"
"May 04","4.592","4.592","4.592","4.592","2.34"
"Apr 04","4.487","4.487","4.487","4.487","16.82"
"Mar 04","3.841","3.841","3.841","3.841","-3.30"
"Feb 04","3.972","3.972","3.972","3.972","-3.76"
"Jan 04","4.127","4.127","4.127","4.127","-2.94"
"Dec 03","4.252","4.252","4.252","4.252","0.33"
"Nov 03","4.238","4.238","4.238","4.238","-1.12"
"Oct 03","4.286","4.286","4.286","4.286","8.81"
"Sep 03","3.939","3.939","3.939","3.939","-10.48"
"Aug 03","4.400","4.400","4.400","4.400","-0.20"
"Jul 03","4.409","4.409","4.409","4.409","25.40"
"Jun 03","3.516","3.516","3.516","3.516","4.24"
"May 03","3.373","3.373","3.373","3.373","-12.16"
"Apr 03","3.840","3.840","3.840","3.840","1.00"
"Mar 03","3.802","3.802","3.802","3.802","2.98"
"Feb 03","3.692","3.692","3.692","3.692","-6.91"
"Jan 03","3.966","3.966","3.966","3.966","3.88"
"Dec 02","3.818","3.818","3.818","3.818","-9.33"
"Nov 02","4.211","4.211","4.211","4.211","8.11"
"Oct 02","3.895","3.895","3.895","3.895","8.19"
"Sep 02","3.600","3.600","3.600","3.600","-12.83"
"Aug 02","4.130","4.130","4.130","4.130","-7.38"
"Jul 02","4.459","4.459","4.459","4.459","-7.28"
"Jun 02","4.809","4.809","4.809","4.809","-4.68"
"May 02","5.045","5.045","5.045","5.045","-0.86"
"Apr 02","5.089","5.089","5.089","5.089","-5.86"
"Mar 02","5.406","5.406","5.406","5.406","10.92"
"Feb 02","4.874","4.874","4.874","4.874","-3.41"
"Jan 02","5.046","5.046","5.046","5.046","0.34"
"Dec 01","5.029","5.029","5.029","5.029","5.78"
"Nov 01","4.754","4.754","4.754","4.754","12.07"
