gvkeyx,bkvlps,dvrate,epsx12,prccm,datadate,tic
000003,,11.4000,22.8690,329.0798,19900131,I0003
000003,,11.4000,22.8690,331.8899,19900228,I0003
000003,,11.0400,21.6700,339.9399,19900331,I0003
000003,,11.0400,21.6700,330.7998,19900430,I0003
000003,,11.0400,21.6700,361.2300,19900531,I0003
000003,,12.8400,21.2600,358.0198,19900630,I0003
000003,,12.8400,21.2600,356.1499,19900731,I0003
000003,,12.8400,21.2600,322.5598,19900831,I0003
000003,,12.0000,21.7400,306.0498,19900930,I0003
000003,,12.0000,21.7400,304.0000,19901031,I0003
000003,,12.0000,21.7400,322.2200,19901130,I0003
000003,153.0100,12.4800,21.3400,330.2200,19901231,I0003
000003,,12.4800,21.3400,343.9299,19910131,I0003
000003,,12.4800,21.3400,367.0698,19910228,I0003
000003,,11.1600,20.9400,375.2200,19910331,I0003
000003,,11.1600,20.9400,375.3499,19910430,I0003
000003,,11.1600,20.9400,389.8298,19910531,I0003
000003,,12.9600,19.4100,371.1599,19910630,I0003
000003,,12.9600,19.4100,387.8098,19910731,I0003
000003,,12.9600,19.4100,395.4299,19910831,I0003
000003,,12.4800,17.8200,387.8599,19910930,I0003
000003,,12.4800,17.8200,392.4600,19911031,I0003
000003,,12.4800,17.8200,375.2200,19911130,I0003
000003,158.8500,12.1200,15.9700,417.0898,19911231,I0003
000003,,12.1200,15.9700,408.7898,19920131,I0003
000003,,12.1200,15.9700,412.7000,19920229,I0003
000003,,11.6400,16.1900,403.6899,19920331,I0003
000003,,11.6400,16.1900,414.9500,19920430,I0003
000003,,11.6400,16.1900,415.3499,19920531,I0003
000003,,12.9600,17.0500,408.1399,19920630,I0003
000003,,12.9600,17.0500,424.2100,19920731,I0003
000003,,12.9600,17.0500,414.0298,19920831,I0003
000003,,12.8400,18.0400,417.7998,19920930,I0003
000003,,12.8400,18.0400,418.6799,19921031,I0003
000003,,12.8400,18.0400,431.3499,19921130,I0003
000003,181.6600,12.1200,19.0900,435.7100,19921231,I0003
000003,,12.1200,19.0900,438.7798,19930131,I0003
000003,,12.1200,19.0900,443.3799,19930228,I0003
000003,,12.0000,19.8400,451.6699,19930331,I0003
000003,,12.0000,19.8400,440.1899,19930430,I0003
000003,,12.0000,19.8400,450.1899,19930531,I0003
000003,,13.0800,19.3300,450.5298,19930630,I0003
000003,,13.0800,19.3300,448.1299,19930731,I0003
000003,,13.0800,19.3300,463.5598,19930831,I0003
000003,,12.8400,20.4200,458.9299,19930930,I0003
000003,,12.8400,20.4200,467.8298,19931031,I0003
000003,,12.8400,20.4200,461.7898,19931130,I0003
000003,184.0400,12.3600,21.8480,466.4500,19931231,I0003
000003,,12.3600,21.8480,481.6099,19940131,I0003
000003,,12.3600,21.8480,467.1399,19940228,I0003
000003,,12.6000,22.6530,445.7698,19940331,I0003
000003,,12.6000,22.6530,450.9099,19940430,I0003
000003,,12.6000,22.6530,456.5000,19940531,I0003
000003,,13.6800,25.1200,444.2698,19940630,I0003
000003,,13.6800,25.1200,458.2598,19940731,I0003
000003,,13.6800,25.1200,475.4900,19940831,I0003
000003,,13.2000,27.2460,462.6899,19940930,I0003
000003,,13.2000,27.2460,472.3499,19941031,I0003
000003,,13.2000,27.2460,453.6899,19941130,I0003
000003,193.3700,13.3200,30.5940,459.2698,19941231,I0003
000003,,13.3200,30.5940,470.4199,19950131,I0003
000003,,13.3200,30.5940,487.3899,19950228,I0003
000003,,12.6000,32.5420,500.7100,19950331,I0003
000003,,12.6000,32.5420,514.7100,19950430,I0003
000003,,12.6000,32.5420,533.3999,19950531,I0003
000003,,14.4000,34.4320,544.7500,19950630,I0003
000003,,14.4000,34.4320,562.0598,19950731,I0003
000003,,14.4000,34.4320,561.8799,19950831,I0003
000003,,14.0400,35.1710,584.4099,19950930,I0003
000003,,14.0400,35.1710,581.5000,19951031,I0003
000003,,14.0400,35.1710,605.3699,19951130,I0003
000003,215.8000,14.1600,34.1910,615.9299,19951231,I0003
000003,,14.1600,34.1910,636.0198,19960131,I0003
000003,,14.1600,34.1910,640.4299,19960229,I0003
000003,,13.8000,34.3020,645.5000,19960331,I0003
000003,,13.8000,34.3020,654.1699,19960430,I0003
000003,,13.8000,34.3020,669.1199,19960531,I0003
000003,,15.1200,35.1320,670.6299,19960630,I0003
000003,,15.1200,35.1320,639.9500,19960731,I0003
000003,,15.1200,35.1320,651.9900,19960831,I0003
000003,,15.6000,36.1750,687.3098,19960930,I0003
000003,,15.6000,36.1750,705.2698,19961031,I0003
000003,,15.6000,36.1750,757.0198,19961130,I0003
000003,236.8900,15.1200,38.6320,740.7400,19961231,I0003
000003,,15.1200,38.6320,786.1599,19970131,I0003
000003,,15.1200,38.6320,790.8198,19970228,I0003
000003,,14.4400,39.9620,757.1199,19970331,I0003
000003,,14.4400,39.9620,801.3398,19970430,I0003
000003,,14.4400,39.9620,848.2798,19970531,I0003
000003,,15.4800,40.2950,885.1399,19970630,I0003
000003,,15.4800,40.2950,954.2898,19970731,I0003
000003,,15.4800,40.2950,899.4700,19970831,I0003
000003,,16.2400,40.6240,947.2798,19970930,I0003
000003,,16.2400,40.6240,914.6199,19971031,I0003
000003,,16.2400,40.6240,955.4000,19971130,I0003
000003,251.0300,15.8400,40.1210,970.4299,19971231,I0003
000003,,15.8400,40.1210,980.2798,19980131,I0003
000003,,15.8400,40.1210,1049.3400,19980228,I0003
000003,,15.0240,40.1670,1101.7500,19980331,I0003
000003,,15.0240,40.1670,1111.7500,19980430,I0003
000003,,15.0240,40.1670,1090.8200,19980531,I0003
000003,,16.7280,40.0870,1133.8400,19980630,I0003
000003,,16.7280,40.0870,1120.6700,19980731,I0003
000003,,16.7280,40.0870,957.2800,19980831,I0003
000003,,17.0200,39.1600,1017.0100,19980930,I0003
000003,,17.0200,39.1600,1098.6700,19981031,I0003
000003,,17.0200,39.1600,1163.6300,19981130,I0003
000003,269.9100,16.0080,38.5900,1229.2300,19981231,I0003
000003,,16.0080,38.5900,1279.6400,19990131,I0003
000003,,16.0080,38.5900,1238.3300,19990228,I0003
000003,,16.0400,39.4600,1286.3700,19990331,I0003
000003,,16.0400,39.4600,1335.1800,19990430,I0003
000003,,16.0400,39.4600,1301.8400,19990531,I0003
000003,,16.7240,41.9400,1372.7100,19990630,I0003
000003,,16.7240,41.9400,1328.7200,19990731,I0003
000003,,16.7240,41.9400,1320.4100,19990831,I0003
000003,,17.7920,45.1400,1282.7100,19990930,I0003
000003,,17.7920,45.1400,1362.9300,19991031,I0003
000003,,17.7920,45.1400,1388.9100,19991130,I0003
000003,293.5700,16.2120,49.3800,1469.2500,19991231,I0003
000003,,16.2120,49.3800,1394.4600,20000131,I0003
000003,,16.2120,49.3800,1366.4200,20000229,I0003
000003,,16.3200,52.1800,1498.5800,20000331,I0003
000003,,16.3200,52.1800,1452.4300,20000430,I0003
000003,,16.3200,52.1800,1420.6000,20000531,I0003
000003,,16.4920,53.1400,1454.6000,20000630,I0003
000003,,16.4920,53.1400,1430.8300,20000731,I0003
000003,,16.4920,53.1400,1517.6800,20000831,I0003
000003,,16.3640,54.7700,1436.5100,20000930,I0003
000003,,16.3640,54.7700,1429.4000,20001031,I0003
000003,,16.3640,54.7700,1314.9500,20001130,I0003
000003,324.8900,15.9080,51.0100,1320.2800,20001231,I0003
000003,,15.9080,51.0100,1366.0100,20010131,I0003
000003,,15.9080,51.0100,1239.9400,20010228,I0003
000003,,15.1280,46.3400,1160.3300,20010331,I0003
000003,,15.1280,46.3400,1249.4600,20010430,I0003
000003,,15.1280,46.3400,1255.8200,20010531,I0003
000003,,15.3440,37.5300,1224.4200,20010630,I0003
000003,,15.3440,37.5300,1211.2300,20010731,I0003
000003,,15.3440,37.5300,1133.5800,20010831,I0003
000003,,16.5640,28.9400,1040.9400,20010930,I0003
000003,,16.5640,28.9400,1059.7800,20011031,I0003
000003,,16.5640,28.9400,1139.4500,20011130,I0003
